Serial Number,Error Type,Ungrammatical Statement,Standard English
1,Agreement in Comparative and Superlative Forms,The most most powerful superhero is Superman.,The most powerful superhero is Superman.
2,Faulty Comparisons,The hotel room is more smaller than I expected.,The hotel room is smaller than I expected.
3,Mixed Metaphors/Idioms,"23. Beauty is in the eye of the beholder, but the early bird catches the worm.",23. Beauty is in the eye of the beholder.
4,Inappropriate Register,The new intern is a quick learner and always keen on helpin' others.,The new intern is a quick learner and always eager to help others.
5,Parallelism Errors,"The job requires research skills, good communication, and working independently.","The job requires research skills, good communication, and independent work."
6,Agreement in Comparative and Superlative Forms,This pizza place has the most best pizza in town.,This pizza place has the best pizza in town.
7,Abbreviation Errors,"In the meeting, they discussed GDPR and CCPA cmp.","In the meeting, they discussed General Data Protection Regulation and California Consumer Privacy Act compliance."
8,Modifiers Misplacement,The computer was used by the programmer loaded with new software.,The computer loaded with new software was used by the programmer.
9,"Slang, Jargon, and Colloquialisms",18. You oughta try this new sushi place.,18. You should try this new sushi place.
10,Subject-Verb Agreement,The film festival have a great lineup this year.,The film festival has a great lineup this year.
11,Sentence Structure Errors,"He was going to the store, but then he changed mind.","He was going to the store, but then he changed his mind."
12,Tautology,The meeting was held at 3 PM in the afternoon.,The meeting was held at 3 PM.
13,Preposition Usage,He is good at playing football.,He is skilled in playing football.
14,Incorrect Auxiliaries,The book do not belong to me.,The book does not belong to me.
15,Verb Tense Errors,The store is open late on Fridays.,The store opens late on Fridays.
16,Mixed Conditionals,"If I will see him, I would give him your message.","If I saw him, I would give him your message."
17,Agreement in Comparative and Superlative Forms,The most narrowest street in the world is in Spain.,The narrowest street in the world is in Spain.
18,Mixed Metaphors/Idioms,"34. The squeaky wheel gets the grease, but you can't make an omelette without breaking eggs.",34. The squeaky wheel gets the grease.
19,Clichés,That's elephant room.,That's the elephant in the room.
20,Subject-Verb Agreement,The laws of physics governs the universe.,The laws of physics govern the universe.
21,Clichés,She's trying to find needle haystack.,She's trying to find a needle in a haystack.
22,Ambiguity,Their going to the concert.,They're going to the concert.
23,Run-on Sentences,He was tired he went to bed early.,"He was tired, so he went to bed early."
24,Preposition Usage,They met at the party on Saturday night.,They met at the party on Saturday evening.
25,Incorrect Auxiliaries,The children do their chores every day.,The children do their chores every day.
26,Faulty Comparisons,The dress is less prettier than the one she wore yesterday.,The dress is less pretty than the one she wore yesterday.
27,Sentence Fragments,"The plane, delayed, passengers waiting.","The plane was delayed, and passengers were waiting."
28,Preposition Usage,The building is located at the city center.,The building is located in the city center.
29,Quantifier Errors,Few of the tools in this toolbox are rusty.,Few tools in this toolbox are rusty.
30,Pronoun Errors,The teacher asked the students to submit they're assignments by tomorrow.,The teacher asked the students to submit their assignments by tomorrow.
31,Article Usage,The weather forecast predicts a rain for a tomorrow.,The weather forecast predicts rain for tomorrow.
32,Quantifier Errors,All of the people in this room have smartphones.,All the people in this room have smartphones.
33,Sentence Structure Errors,She asked her friend if they wants to go shopping.,She asked her friend if they want to go shopping.
34,Ambiguity,The cake need more sugar.,The cake needs more sugar.
35,Verb Tense Errors,The cat catch the mouse yesterday.,The cat caught the mouse yesterday.
36,Article Usage,The couple is taking a walk in a park.,The couple is taking a walk in the park.
37,Run-on Sentences,The movie was boring we left early.,"The movie was boring, so we left early."
38,Mixed Metaphors/Idioms,"19. Don't bite the hand that feeds you, but the pen is mightier than the sword.",19. Don't bite the hand that feeds you.
39,Ellipsis Errors,The city is beautiful... especially in the spring.,"The city is beautiful, especially in the spring."
40,Sentence Structure Errors,"The cake was delicious, but it was too sweet.","The cake was delicious, but it was too sweet."
41,Agreement in Comparative and Superlative Forms,My car is more better than yours.,My car is better than yours.
42,Spelling Mistakes,13. She was very upset and started to cryed.,13. She was very upset and started to cry.
43,Clichés,He's hitting two birds stone.,He's hitting two birds with one stone.
44,Incorrect Auxiliaries,The team has not been practice enough.,The team has not been practicing enough.
45,Word Choice/Usage,She didn't excepted the job offer.,She didn't accept the job offer.
46,Pronoun Errors,The conference attendees enjoyed the presentations and discussed them with they're colleagues.,The conference attendees enjoyed the presentations and discussed them with their colleagues.
47,Contractions Errors,The artist is famous for they're unique style.,The artist is famous for their unique style.
48,Subject-Verb Agreement,The pair of gloves keeps my hands warm.,The pair of gloves keep my hands warm.
49,Pronoun Errors,The club will hold a meeting to discuss its future plans and there budget.,The club will hold a meeting to discuss its future plans and its budget.
50,Capitalization Errors,harry potter is a famous book series by j.k. rowling.,Harry Potter is a famous book series by J.K. Rowling.
51,Pronoun Errors,The club will hold a meeting to discuss its future plans and there budget.,The club will hold a meeting to discuss its future plans and its budget.
52,Spelling Mistakes,65. The cake was decorated with icing flowers and colorful sprikles.,65. The cake was decorated with icing flowers and colorful sprinkles.
53,Infinitive Errors,The team wanted to collectively make a decision.,The team wanted to make a decision collectively.
54,Ellipsis Errors,I tried calling her... didn't answer the phone.,"I tried calling her, but she didn't answer the phone."
55,Tautology,The room was completely empty and vacant.,The room was completely empty.
56,Redundancy/Repetition,"I want to buy a new shirt, but first I have to save up some money, some cash.","I want to buy a new shirt, but first I have to save up some money."
57,Negation Errors,They haven't never been to Italy.,They have never been to Italy.
58,Parallelism Errors,"The smartphone features a large screen, powerful processor, and you can take great photos.","The smartphone features a large screen, powerful processor, and great photo capabilities."
59,Incorrect Auxiliaries,The students has to complete their assignments.,The students have to complete their assignments.
60,Relative Clause Errors,The town I grew up is small and quiet.,The town where I grew up is small and quiet.
61,Punctuation Errors,"I'm going to the gym, after that, I'll cook dinner.","I'm going to the gym; after that, I'll cook dinner."
62,Verb Tense Errors,I has been to Paris three times.,I have been to Paris three times.
63,Mixed Metaphors/Idioms,3. You can't judge a book by its cover with a grain of salt.,3. You can't judge a book by its cover.
64,Subject-Verb Agreement,The range of products offered by the company are vast.,The range of products offered by the company is vast.
65,Inappropriate Register,"The experiment's objective was to determine how temperature affects the speed of sound, ya know.",The experiment's objective was to determine how temperature affects the speed of sound.
66,Preposition Usage,The party will start in 8 PM.,The party will start at 8 PM.
67,Punctuation Errors,Its a beautiful day isnt it?,"It’s a beautiful day, isn’t it?"
68,Preposition Usage,We walked through the park.,We walked across the park.
69,Verb Tense Errors,The kids plays video games after school.,The kids play video games after school.
70,Article Usage,The athlete is training for a marathon race.,The athlete is training for a marathon race.
71,Run-on Sentences,She was happy she got a promotion.,"She was happy, for she got a promotion."
72,Ambiguity,The book that I found it was interesting.,The book that I found was interesting.
73,Spelling Mistakes,67. The computer software was infected with a dangerous virus.,67. The computer software was infected with a dangerous virus.
74,Passive Voice Overuse,The plants were watered by Jane every day.,Jane watered the plants every day.
75,Ambiguity,The child was ate the candy.,The child ate the candy.
76,Verb Tense Errors,The employee is work late tonight.,The employee is working late tonight.
77,Mixed Conditionals,She might have come if you will invite her.,She might have come if you had invited her.
78,Pronoun Errors,The teacher asked the students to submit they're assignments by tomorrow.,The teacher asked the students to submit their assignments by tomorrow.
79,Incorrect Auxiliaries,They was planning to go on a trip.,They were planning to go on a trip.
80,Faulty Comparisons,He is more lazier than his brother.,He is lazier than his brother.
81,Spelling Mistakes,11. The company is launching a innnovative product soon.,11. The company is launching an innovative product soon.
82,Run-on Sentences,He is a teacher he teaches math.,He is a teacher who teaches math.
83,Gerund and Participle Errors,The architect's bold vision led to the creation of a beautiful building.,The architect's bold vision led to creating a beautiful building.
84,Verb Tense Errors,The teacher teach the students in the classroom.,The teacher teaches the students in the classroom.
85,Article Usage,I am looking forward to an vacation.,I am looking forward to a vacation.
86,Agreement in Comparative and Superlative Forms,This is the most happiest day of my life.,This is the happiest day of my life.
87,Gerund and Participle Errors,The students were encourage to ask questions during the lecture.,The students were encouraged to ask questions during the lecture.
88,Ellipsis Errors,I enjoy reading books... history and science fiction.,I enjoy reading books about history and science fiction.
89,Infinitive Errors,She decided to permanently delete her social media accounts.,She decided to delete her social media accounts permanently.
